job_id,job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary data provide by
238,Zimetrics Technologies - Business Intelligence/Data Analyst - Looker/SQL/Scripting (4-8 yrs),Zimetrics Technologies Private Limited,4-8 Yrs,4,8,,,,Pune,20,hirist,4.5,228,"Business Intelligence, Data Analyst, Data Analytics",
555,Zeno Health - Data Analyst (2-4 yrs),Zeno Health,,,,,,,,30,iimjobs,3.9,137,,
575,WovV Technologies - Data Analyst - SQL/Python (7-9 yrs),Wovv Technology,7-9 Yrs,7,9,,,,Mumbai,60,hirist,4.6,143,"Data Analyst, Data Analytics, Data Validation",
207,Wipro Consumer Care - Data Analyst - Internal Audit Department (2-4 yrs),Wipro Consumer Care & Lighting,2-4 Yrs,2,4,,,,Bangalore / Bengaluru,30,iimjobs,3.9,2300,"Data Warehousing, Data Analytics, SQL",
208,Wipro Consumer Care - Data Analyst - Internal Audit Department (2-4 yrs),Wipro Consumer Care & Lighting,2-4 Yrs,2,4,,,,Bangalore / Bengaluru,30,iimjobs,3.9,2300,"Data Analytics, Analytics, SQL",
337,Web Researcher,Cct Digisol,0-1 Yrs,0,1,,,,Ahmedabad,3,Naukri,3.8,33,"Information Research, Data Research, Web Research",
1209,We Are Hiring Full stack Python Developer ( Business & Data Analyst),Coriolis Tech,0-1 Yrs,0,1, 4.25 - 7L/yr,425000,700000,Pune,30,Naukri,,,,Salary Listed by Company
916,Wayfair - Lead Analyst - SQL/Python (4-8 yrs),Wayfair,4-8 Yrs,4,8,,,,Bangalore / Bengaluru,60,hirist,4,12,"SQL, Hive, Spark",
1165,Warehouse Operations & Data Analysis-MNC into Supply Chain,Nexus Manpower Solutions,3-8 Yrs,3,8, 6.5 - 8L/yr,650000,800000,Bangalore / Bengaluru,26,Naukri,,,"data analysis, supply chain, hub operations",Salary Listed by Company
1003,Walk-in Fresher's For -MIS /Data Analyst/Specialist/Leading IT Client.,Wisdom Bridge Consultants,0-5 Yrs,0,5, 3.25 - 5L/yr,325000,500000,"Bangarapet, Bagepalli, Malur
+6 more",9,Naukri,,,"Data Validation, MIS Preparation, Power Bi",Salary Listed by Company
1005,Walk-in Fresher's For -MIS /Data Analyst/Specialist/Leading IT Client.,Wisdom Bridge Consultants,0-5 Yrs,0,5, 3.25 - 5L/yr,325000,500000,"Hosur, Nelamangala, Hosakote
+6 more",9,Naukri,,,"Data Validation, MIS Preparation, Power Bi",Salary Listed by Company
848,Voice and Accent Trainer - Diya Systems,GlowTouch Technologies,2-5 Yrs,2,5,,,,Mangaluru,1460,Naukri,3.5,88,"Monitoring, Training, Customer experience",
28,Veeva process specialists,Tech Mahindra,5-10 Yrs,5,10, 7 - 12L/yr,700000,1200000,Hyderabad / Secunderabad,3,Naukri,3.7,28500,"CTMS, CDMS, Veeva",Salary Listed by Company
776,VDOT Data Analyst 2,Hankersystems India,0-1 Yrs,0,1,,,,Richmond,16,Naukri,3.3,3,"adhoc analysis, Data analysis, Power BI",
265,VBA Developer - Data Analytics (4-8 yrs),Conneqtcorp,4-8 Yrs,4,8,,,,Gurgaon / Gurugram,30,hirist,3.7,8000,"VBA, Data Analyst, Data Analytics",
533,UsefulBI Corporation - Senior Data Analyst - Tableau (4-6 yrs),USEFULBI CORPORATION,4-6 Yrs,4,6,,,,Bangalore / Bengaluru,60,hirist,4.3,20,"Tableau, Data Visualization, Python",
192,Urgently Required Data Analyst For Logistic Industry in Noida,Sugam Parivahan,2-5 Yrs,2,5, 4 - 5L/yr,400000,500000,Noida,19,Naukri,3.8,145,"Data Analysis, Data Quality Management",Salary Listed by Company
587,Urgent- Supply Chain - Logistics / Data Analyst,Pittie Group,1-3 Yrs,1,3, 0.5 - 2.75L/yr,50000,275000,Navi Mumbai,23,Naukri,2.3,27,"Data Analysis, Advanced Excel, SCM analyst",Salary Listed by Company
179,Urgent Requirement For Data Analyst in HR & Training,Utkarsh Small Finance Bank,3-7 Yrs,3,7,,,,Varanasi,27,Naukri,3.9,2700,"Data Handling, Attrition Analysis, PMS",
68,Urgent Opening !!! Data Analyst - IIT/NIT /IIM Engineer/MBA,Angel One,4-8 Yrs,4,8, 11 - 21L/yr,1100000,2100000,Mumbai,2,Naukri,3.9,1300,"Data Querying, Power BI, Data Analysis",Salary Listed by Company
1153,Urgent Hiring For Digital Marketing Analyst with a Product based MNC,Peoplefy Infosolutions,4-9 Yrs,4,9,,,,Pune,25,Naukri,,,"Powerbi, Digital Marketing Analyst, Data Analyst",
1196,Urgent hiring For Data Analyst in leading MNC (Third party payroll),Altezzasys,6-11 Yrs,6,11, 0.15 - 36L/yr (AmbitionBox estimate),15000,3600000,"Chennai, Pune",30,Naukri,,,"Kubeflow, AWS Lambdas, Amazon Redshift",Estimated by Ambition Box
283,Urgent Hiring For Data Analyst For Bangalore,Cantik technologies,6-9 Yrs,6,9, 15 - 20L/yr,1500000,2000000,Bangalore Rural,15,Naukri,4.2,40,"Pyspark, Python",Salary Listed by Company
348,Urgent Hiring Data Analyst Night Shift (7PM- 4AM)Noida 63,Emonics,4-9 Yrs,4,9,,,,Noida,20,Naukri,3.9,88,"Advanced Analytics, Pandas, Data Analysis",
937,Urgent | Data analyst- Goregaon,Topgear Consultants,4-9 Yrs,4,9, 4.5 - 9.5L/yr,450000,950000,"Thane, Goregaon, Mumbai",4,Naukri,,,"Data Intelligence, SAS, Power Bi",Salary Listed by Company
92,upGrad - Data Analyst - CRM (5-8 yrs),upgrad,5-8 Yrs,5,8,,,,Bangalore / Bengaluru,3,iimjobs,3.8,1600,"Analytics, Data Analytics, Web Analytics",
546,UAV Data Analyst,Prakhar Software Solutions,3-8 Yrs,3,8,,,,New Delhi,25,Naukri,3.3,54,"Data analysis, Assurance, Data collection",
